Pos,Player,PPG,HEAT,Sal,2x,3x,4x,TM,Opp,DvP,PM,Pts L5,FPPM,Proj P,Proj V
PG,Luka Doncic,56.3,,11300,22.6,33.9,45.2,DAL,MEM,1.03,36,53.8,1.72,61.92,5.48
PF,Giannis Antetokounmpo,60,,11200,22.4,33.6,44.8,MIL,LAL,0.88,32,58.5,1.95,62.4,5.57
PG,LeBron James,55.3,,10900,21.8,32.7,43.6,LAL,MIL,0.99,36,59.2,1.6,57.6,5.28
SG,Bradley Beal,48.1,,10400,20.8,31.2,41.6,WAS,ATL,1.06,36,56.8,1.34,48.24,4.64
SF,Jayson Tatum,41.7,🔥,10000,20,30,40,BOS,UTA,0.93,37,56.7,1.22,45.14,4.51
PF,Anthony Davis,51.3,,9800,19.6,29.4,39.2,LAL,MIL,1.05,34,52,1.5,51,5.2
PG,Damian Lillard,50.3,,9700,19.4,29.1,38.8,POR,PHO,1.04,32,48.1,1.36,43.52,4.49
C,Kristaps Porzingis,40.4,🔥,9300,18.6,27.9,37.2,DAL,MEM,1.02,36,56,1.3,46.8,5.03
C,Hassan Whiteside,43,,9100,18.2,27.3,36.4,POR,PHO,1.02,32,48,1.38,44.16,4.85
C,Nikola Vucevic,43.1,,8900,17.8,26.7,35.6,ORL,MIN,1.01,34,44.7,1.32,44.88,5.04
PG,D'Angelo Russell,40.9,,8800,17.6,26.4,35.2,MIN,ORL,0.94,32,42,1.27,40.64,4.62
PF,Domantas Sabonis,43.3,,8700,17.4,26.1,34.8,IND,CHI,1.13,35,45.7,1.26,44.1,5.07
PF,Aaron Gordon,32.3,🔥,8600,17.2,25.8,34.4,ORL,MIN,1,35,45.3,0.98,34.3,3.99
PF,John Collins,41.2,,8500,17,25.5,34,ATL,WAS,1.01,33,41.8,1.27,41.91,4.93
PG,Devin Booker,41.4,,8400,16.8,25.2,33.6,PHO,POR,1.07,37,37.2,1.16,42.92,5.11
PF,Deandre Ayton,41.5,,8300,16.6,24.9,33.2,PHO,POR,1.11,0,39,1.25,0,0
C,Bam Adebayo,40.9,,8200,16.4,24.6,32.8,MIA,NO,1,32,39.3,1.2,38.4,4.68
PG,CJ McCollum,37.2,🔥,8200,16.4,24.6,32.8,POR,PHO,1.04,35,50,1.04,36.4,4.44
PG,Jrue Holiday,40.3,,8100,16.2,24.3,32.4,NO,MIA,0.9,37,40.4,1.16,42.92,5.3
SF,Brandon Ingram,41.4,,8000,16,24,32,NO,MIA,0.97,35,40.8,1.23,43.05,5.38
SG,Jimmy Butler,41.7,,7900,15.8,23.7,31.6,MIA,NO,1.05,34,37.4,1.23,41.82,5.29
C,Rudy Gobert,40.7,,7800,15.6,23.4,31.2,UTA,BOS,0.98,33,35.8,1.18,38.94,4.99
PG,Lonzo Ball,34.5,🔥,7800,15.6,23.4,31.2,NO,MIA,0.9,34,47,1.07,36.38,4.66
PG,Donovan Mitchell,38.7,,7700,15.4,23.1,30.8,UTA,BOS,0.9,34,45.2,1.14,38.76,5.03
PF,Zion Williamson,37.3,,7600,15.2,22.8,30.4,NO,MIA,0.98,32,39.2,1.27,40.64,5.35
PF,Julius Randle,38.3,,7600,15.2,22.8,30.4,NY,OKC,0.89,31,44.2,1.18,36.58,4.81
PG,Kemba Walker,37.9,,7600,15.2,22.8,30.4,BOS,UTA,1,24,33.3,1.19,28.56,3.76
PG,Chris Paul,36.9,,7500,15,22.5,30,OKC,NY,0.99,31,33.5,1.17,36.27,4.84
C,Jonas Valanciunas,34.2,,7400,14.8,22.2,29.6,MEM,DAL,0.95,25,40.5,1.32,33,4.46
PG,Spencer Dinwiddie,36.8,,7300,14.6,21.9,29.2,BKN,SA,1.02,29,34.9,1.18,34.22,4.69
SG,DeMar DeRozan,38.9,,7200,14.4,21.6,28.8,SA,BKN,1,35,34.3,1.14,39.9,5.54
PG,Ricky Rubio,34.7,,7100,14.2,21.3,28.4,PHO,POR,1.07,31,42.8,1.1,34.1,4.8
SG,Caris LeVert,29.9,🔥,7000,14,21,28,BKN,SA,0.99,34,42,1.05,35.7,5.1
SG,Shai Gilgeous-Alexander,35.5,,7000,14,21,28,OKC,NY,1,33,33.8,1,33,4.71
PG,Ja Morant,33.9,,6900,13.8,20.7,27.6,MEM,DAL,0.96,29,38.5,1.13,32.77,4.75
SF,Khris Middleton,36.9,,6800,13.6,20.4,27.2,MIL,LAL,0.96,32,38.2,1.24,39.68,5.84
PG,Malcolm Brogdon,34.4,,6700,13.4,20.1,26.8,IND,CHI,0.89,0,32.5,1.12,0,0
PG,Marcus Smart,29.9,🔥,6500,13,19.5,26,BOS,UTA,1,35,40.1,0.93,32.55,5.01
PG,Elfrid Payton,29.6,,6400,12.8,19.2,25.6,NY,OKC,1,26,29.6,1.07,27.82,4.35
PG,Coby White,22.9,🔥,6300,12.6,18.9,25.2,CHI,IND,0.97,33,41.5,0.9,29.7,4.71
SF,Danilo Gallinari,31.9,,6100,12.2,18.3,24.4,OKC,NY,1.03,30,29.8,1.04,31.2,5.11
C,Steven Adams,30.1,,6100,12.2,18.3,24.4,OKC,NY,0.94,27,27,1.11,29.97,4.91
SF,T.J. Warren,28.9,,6000,12,18,24,IND,CHI,1.01,33,32,0.89,29.37,4.9
SF,Bojan Bogdanovic,30.5,,6000,12,18,24,UTA,BOS,0.92,33,28.8,0.92,30.36,5.06
PG,Goran Dragic,29.5,,5900,11.8,17.7,23.6,MIA,NO,1.04,30,34.2,1.03,30.9,5.24
SG,Malik Beasley,18.3,🔥,5900,11.8,17.7,23.6,MIN,ORL,0.99,33,32.3,0.85,28.05,4.75
C,Naz Reid,18.3,🔥,5800,11.6,17.4,23.2,MIN,ORL,0.9,26,29.5,1.17,30.42,5.24
PG,Dejounte Murray,27.3,,5800,11.6,17.4,23.2,SA,BKN,1.05,27,28.3,1.1,29.7,5.12
PG,Dennis Schroder,31.1,,5800,11.6,17.4,23.2,OKC,NY,0.99,28,27.5,1.01,28.28,4.88
